expl,top_ngrams_module_correct,question,subject,module_num,voxel_num
spatial reasoning,"['The table is to the left of the chair', 'The ball rolled under the couch', 'The cat jumped over the fence', 'She placed the vase between the books', 'The park is located north of the river']",Does the sentence involve spatial reasoning?,UTS03,qa,qa
environment or setting descriptions,"['The room was dimly lit', 'The forest was dense and dark', 'The city skyline at sunset', 'The beach was serene', 'The mountains towered above them', 'The sidewalk was cracked and uneven']",Does the sentence involve a description of physical environment or setting?,UTS03,qa,qa
proper nouns,"['The Eiffel Tower', 'The Beatles', 'Google', 'California', 'Jupiter']",Does the sentence contain a proper noun?,UTS03,qa,qa
mentions of time,"['Yesterday', 'In 2025', 'At dawn', 'Later that evening', 'Three years ago', 'At midnight']",Is time mentioned in the input?,UTS03,qa,qa
physical actions,"['She ran across the street', 'He picked up the book', 'They jumped into the pool', 'She writes a letter', 'He is eating an apple', 'She danced in the rain']",Does the sentence describe a physical action?,UTS03,qa,qa
planning or organizing,"['They planned the event meticulously', 'She organized her schedule for the week', 'They arranged the chairs in a circle', 'He mapped out the trip in detail', 'They coordinated their efforts to complete the project']",Does the input involve planning or organizing?,UTS03,qa,qa
abstract descriptions,"['Freedom is priceless', 'Love conquers all', 'The concept of justice', 'She felt an overwhelming sense of peace', 'The idea of infinity', 'He believed in the power of dreams']",Is the sentence abstract rather than concrete?,UTS03,qa,qa
relationships between people,"['She was his best friend', 'They were colleagues for ten years', 'He is her brother', 'They are rivals', 'She is my mentor', 'He is her confidant']",Does the sentence describe a relationship between people?,UTS03,qa,qa
personal reflections or thoughts,"['I wonder if things would have been different', 'I did the right thing', 'I wonder what will happen next', 'I remember when I was a child', 'I believe that the world is a good place', 'I feel that I am a good person', 'she knew she was wrong', 'I dream of a better world', 'She really was silly']",Does the sentence describe a personal reflection or thought?,UTS03,qa,qa
negations,"['not good', 'She did not like the movie', 'He cannot attend the meeting', 'They never spoke again', 'I don’t think that’s true', 'She isn’t coming to the party']",Does the sentence contain a negation?,UTS03,qa,qa
personal values or beliefs,"['She believed in honesty above all', 'He valued loyalty in his friends', 'They upheld the tradition of their ancestors', 'She thought kindness was the greatest virtue', 'He held strong religious beliefs']",Does the sentence involve an expression of personal values or beliefs?,UTS03,qa,qa
personal or interactions interactions,"['They argued and then he realized his mistake', 'After their conversation, she decided to change her career', 'He confessed his love and she felt a surge of joy', 'The debate made him rethink his beliefs', 'Their friendship transformed over the years']",Does the sentence describe a personal or social interaction that leads to a change or revelation?,UTS03,qa,qa
dialogue,"['""Hello, how are you?"" she asked', '""I think we should leave,"" he said', '""What are you doing here?""', '""I love this song,"" she exclaimed', '""Can you help me with this?""', '""Nice to see you""']",Does the sentence include dialogue?,UTS03,qa,qa
opinions or judgments,"['He was the best player on the team', 'That was a terrible idea', 'She is the kindest person I know', 'It was a spectacular event', 'He acted foolishly', 'She was a brilliant actress']",Does the sentence express the narrator's opinion or judgment about an event or character?,UTS03,qa,qa
visual experiences or scenes,"['The sunset painted the sky in hues of orange', 'The garden was full of blooming flowers', 'The room was decorated with bright colors', 'The lake reflected the mountains perfectly', 'The fireworks lit up the night sky']",Does the sentence describe a visual experience or scene?,UTS03,qa,qa
