expl,top_ngrams_module_correct,subject,prompt_suffix,question,module_num,voxel_num
START,[],UTS03,,,,
direct speech quotations,"['""I can’t believe this is happening,"" she said', '""What do you think?"" he asked', '""I’ll be there soon,"" she promised', '""This is amazing!"" he exclaimed', '""Why did you do that?"" she inquired']",UTS03,,Does the sentence include a direct speech quotation?,qa,qa
comparisons or metaphors,"['She was as brave as a lion', 'The night was as dark as coal', 'Life is a journey', 'He is a shining star', 'Time is money']",UTS03,,Does the input include a comparison or metaphor?,qa,qa
technical or specialized terminology,"['The CPU processes data quickly', 'The patient exhibited symptoms of anemia', 'The stock market fluctuates daily', 'The curriculum includes advanced calculus', 'The software uses a complex algorithm']",UTS03,,Does the sentence include technical or specialized terminology?,qa,qa
specific sensations or feelings,"['The sting of the bee was sharp', 'She felt a wave of relief', 'The warmth of the sun on her skin', 'He felt a chill down his spine', 'The pain in his leg was intense']",UTS03,,Does the sentence describe a specific sensation or feeling?,qa,qa
cultural references,"['Like Romeo and Juliet', 'An Achilles’ heel', 'He was a real Scrooge', 'The Mona Lisa', 'A Herculean task', 'Taylor Swift music']",UTS03,,Does the sentence contain a cultural reference?,qa,qa
physical sensations,"['The prickling sensation on her skin', 'He felt the cool breeze on his face', 'The burning sensation in his throat', 'She felt a throbbing pain in her head', 'His muscles ached after the workout']",UTS03,,Does the sentence describe a physical sensation?,qa,qa
planning or decision-making process,"['They decided to move forward with the project', 'She planned her career path carefully', 'They weighed the pros and cons', 'He chose the best option available', 'They strategized their next move']",UTS03,,Does the text include a planning or decision-making process?,qa,qa
sense of belonging or connection,"['She felt at home in the village', 'He belonged to the local club', 'They were part of a close-knit community', 'She identified with the city’s culture', 'He felt a connection to the land']",UTS03,,Does the sentence express a sense of belonging or connection to a place or community?,qa,qa
sensory experiences,"['The fragrance of the flowers filled the air', 'The music was loud and exhilarating', 'The texture of the fabric was soft', 'The taste of the chocolate was rich and creamy', 'The sight of the ocean was breathtaking']",UTS03,,Does the sentence describe a sensory experience?,qa,qa
textures or sensations,"['The smooth surface of the marble', 'The rough bark of the tree', 'The silky feel of the fabric', 'The gritty sand under her feet', 'The sticky residue on the table']",UTS03,,Does the input describe a specific texture or sensation?,qa,qa
self-analysis or introspection,"['He wondered about his choices in life', 'She reflected on her past mistakes', 'He analyzed his feelings of guilt', 'She questioned her purpose in life', 'He pondered his next steps']",UTS03,,"Is the sentence reflective, involving self-analysis or introspection?",qa,qa
modes of communication,"['They communicated via email', 'She wrote him a letter', 'They talked on the phone', 'He sent a text message', 'She used sign language']",UTS03,,Does the text describe a mode of communication?,qa,qa
discussion about values,"['They debated the importance of freedom', 'She talked about the need for equality', 'He emphasized the value of hard work', 'They discussed the meaning of justice', 'She highlighted the significance of kindness']",UTS03,,Does the sentence involve a discussion about personal or social values?,qa,qa
personal anecdotes or stories,"['When I was a child, we used to visit the beach every summer', 'He told a story about his first job', 'She shared a memory from her wedding day', 'They recounted their adventure in the mountains', 'I remember the time we got lost in the city']",UTS03,,Does the sentence include a personal anecdote or story?,qa,qa
journeys,"['They traveled across Europe', 'The expedition took them to uncharted territories', 'He embarked on a spiritual journey', 'She journeyed through her past memories', 'The voyage was long and arduous']",UTS03,,Does the text describe a journey?,qa,qa
END,[],UTS03,,,,
